PassengerId,Survived
892,1
893,2
894,1
895,1
896,3
897,1
898,1
899,3
900,1
901,3
902,1
903,1
904,2
905,2
906,2
907,2
908,1
909,1
910,2
911,1
912,2
913,2
914,1
915,2
916,5
917,2
918,2
919,1
920,1
921,3
922,2
923,3
924,5
925,5
926,2
927,1
928,1
929,1
930,1
931,1
932,2
933,1
934,1
935,1
936,2
937,1
938,1
939,1
940,1
941,3
942,2
943,1
944,4
945,6
946,1
947,6
948,1
949,1
950,2
951,1
952,1
953,1
954,1
955,1
956,4
957,1
958,1
959,1
960,1
961,6
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,3
970,1
971,1
972,3
973,2
974,1
975,1
976,1
977,2
978,1
979,1
980,1
981,3
982,2
983,1
984,4
985,1
986,1
987,1
988,2
989,1
990,1
991,1
992,2
993,2
994,1
995,1
996,3
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,2
1007,2
1008,1
1009,3
1010,1
1011,2
1012,1
1013,2
1014,2
1015,1
1016,1
1017,2
1018,1
1019,3
1020,1
1021,1
1022,1
1023,1
1024,5
1025,2
1026,1
1027,1
1028,1
1029,1
1030,1
1031,6
1032,8
1033,1
1034,4
1035,1
1036,1
1037,4
1038,1
1039,1
1040,1
1041,3
1042,2
1043,1
1044,1
1045,3
1046,7
1047,1
1048,1
1049,1
1050,1
1051,3
1052,1
1053,3
1054,1
1055,1
1056,1
1057,3
1058,1
1059,4
1060,1
1061,1
1062,1
1063,1
1064,2
1065,1
1066,6
1067,3
1068,1
1069,2
1070,4
1071,3
1072,1
1073,3
1074,2
1075,1
1076,3
1077,1
1078,2
1079,3
1080,11
1081,1
1082,2
1083,1
1084,3
1085,1
1086,3
1087,1
1088,3
1089,1
1090,1
1091,1
1092,1
1093,3
1094,2
1095,3
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,2
1106,7
1107,1
1108,1
1109,3
1110,3
1111,1
1112,2
1113,1
1114,1
1115,1
1116,1
1117,3
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,2
1125,1
1126,2
1127,1
1128,2
1129,1
1130,3
1131,2
1132,1
1133,3
1134,3
1135,1
1136,4
1137,2
1138,1
1139,3
1140,2
1141,2
1142,4
1143,1
1144,2
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,2
1153,1
1154,3
1155,3
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,1
1163,1
1164,2
1165,2
1166,1
1167,2
1168,1
1169,2
1170,2
1171,1
1172,1
1173,3
1174,1
1175,3
1176,3
1177,1
1178,1
1179,2
1180,1
1181,1
1182,1
1183,1
1184,1
1185,3
1186,1
1187,1
1188,4
1189,3
1190,1
1191,1
1192,1
1193,1
1194,2
1195,1
1196,1
1197,3
1198,4
1199,2
1200,3
1201,2
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,2
1209,1
1210,1
1211,3
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,4
1219,1
1220,2
1221,1
1222,3
1223,1
1224,1
1225,3
1226,1
1227,1
1228,1
1229,3
1230,1
1231,1
1232,1
1233,1
1234,11
1235,2
1236,3
1237,1
1238,1
1239,1
1240,1
1241,1
1242,2
1243,1
1244,1
1245,4
1246,5
1247,1
1248,3
1249,1
1250,1
1251,2
1252,7
1253,3
1254,1
1255,1
1256,2
1257,7
1258,2
1259,1
1260,2
1261,1
1262,2
1263,1
1264,1
1265,1
1266,3
1267,1
1268,3
1269,1
1270,1
1271,7
1272,1
1273,1
1274,1
1275,2
1276,1
1277,4
1278,1
1279,1
1280,1
1281,5
1282,1
1283,2
1284,3
1285,1
1286,4
1287,2
1288,1
1289,3
1290,1
1291,1
1292,1
1293,2
1294,2
1295,1
1296,2
1297,1
1298,2
1299,3
1300,1
1301,3
1302,1
1303,2
1304,1
1305,1
1306,1
1307,1
1308,1
1309,3
